
Disease,Language Code,Description

malaria,te," మలేరియా అనేది ప్లాస్మోడియం పరాన్నజీవుల వల్ల కలిగే ప్రాణాంతక వ్యాధి, ఇది సోకిన అనాఫిలిస్ దోమల కాటు ద్వారా వ్యాపిస్తుంది.<br><br>

<strong>కారణాలు</strong><br><br>
- <em><b>దోమ కాటు:</b></em> సోకిన అనాఫిలిస్ దోమల ద్వారా వ్యాపిస్తుంది.<br>
- <em><b>ప్లాస్మోడియం పరాన్నజీవులు:</b></em> ప్రధానంగా ప్లాస్మోడియం ఫాల్సిపరమ్ మరియు P. వైవాక్స్ వల్ల కలుగుతుంది.<br><br>

<strong>జాగ్రత్తలు</strong><br><br>
- <em><b>దోమ తెరలను ఉపయోగించండి:</b></em> నిద్రిస్తున్నప్పుడు కాటు వేయకుండా నిరోధించండి.<br>
- <em><b>నిశ్చలమైన నీటిని నిరోధించండి:</b></em> దోమల వృద్ధి ప్రదేశాలను తొలగించండి.<br><br>

<strong>ఇంటి నివారణలు</strong><br><br>
- <em><b>అల్లం టీ:</b></em> జ్వరం మరియు వికారం వంటి లక్షణాలను ఎదుర్కోవడంలో సహాయపడుతుంది.<br>
- <em><b>దాల్చిన చెక్క:</b></em> యాంటీమైక్రోబయల్ లక్షణాలకు ప్రసిద్ధి.<br>
- <em><b>నిమ్మ మరియు నిమ్మ:</b></em> జ్వరాన్ని తగ్గించడంలో సహాయపడుతుంది.<br>"

chickenpox,te," చికెన్‌పాక్స్ అనేది వరిసెల్లా-జోస్టర్ వైరస్ వల్ల కలిగే అత్యంత అంటువ్యాధి వైరల్ ఇన్‌ఫెక్షన్. ఇది శరీరం అంతటా దురద, ద్రవంతో నిండిన బొబ్బలు కలిగి ఉంటుంది.<br><br>

<strong>కారణాలు</strong><br><br>
- <em><b>Varicella-Zoster వైరస్:</b></em> ప్రత్యక్ష పరిచయం, తుంపరలు లేదా గాలి ద్వారా వ్యాపిస్తుంది.<br><br>

<strong>జాగ్రత్తలు</strong><br><br>
- <em><b>వ్యాక్సినేషన్:</b></em> చికెన్‌పాక్స్ వ్యాక్సిన్ సమర్థవంతమైన రక్షణను అందిస్తుంది.<br>
- <em><b>పరిచయాన్ని నివారించండి:</b></em> సోకిన వ్యక్తుల నుండి దూరంగా ఉండండి.<br><br>

<strong>ఇంటి నివారణలు</strong><br><br>
- <em><b>వోట్‌మీల్ బాత్‌లు:</b></em> దురద నుండి ఉపశమనాన్ని కలిగిస్తుంది మరియు చర్మాన్ని ఉపశమనం చేస్తుంది.<br>
- <em><b>కలామైన్ లోషన్:</b></em> దురద మరియు చికాకును తగ్గిస్తుంది.<br>
- <em><b>అలోవెరా:</b></em> చర్మాన్ని మృదువుగా చేస్తుంది మరియు స్వస్థతను ప్రోత్సహిస్తుంది.<br>"

psoriasis,te,"సోరియాసిస్ అనేది దీర్ఘకాలిక స్వయం ప్రతిరక్షక స్థితి, ఇది చర్మ కణాలు వేగంగా వృద్ధి చెందడానికి కారణమవుతుంది, ఇది స్కేలింగ్, ఎరుపు మరియు వాపుకు దారితీస్తుంది. ఇది తరచుగా నెత్తిమీద చర్మం, మోచేతులు, మోకాలు మరియు దిగువ వీపుపై ప్రభావం చూపుతుంది.<br><br>

<strong>కారణాలు</strong><br><br>
- <em><b>ఆటో ఇమ్యూన్ రెస్పాన్స్:</b></em> రోగనిరోధక వ్యవస్థ ఆరోగ్యకరమైన చర్మ కణాలపై పొరపాటున దాడి చేస్తుంది.<br>
- <em><b>ట్రిగ్గర్స్:</b></em> ఒత్తిడి, ఇన్ఫెక్షన్లు, చల్లని వాతావరణం మరియు కొన్ని మందులు.<br><br>

<strong>జాగ్రత్తలు</strong><br><br>
- <em><b>రెగ్యులర్‌గా మాయిశ్చరైజ్ చేయండి:</b></em> పొడిబారడం మరియు స్కేలింగ్‌ను నివారిస్తుంది.<br>
- <em><b>ట్రిగ్గర్‌లను నివారించండి:</b></em> ఒత్తిడిని నిర్వహించండి మరియు తెలిసిన చికాకులను నివారించండి.<br><br>

<strong>ఇంటి నివారణలు</strong><br><br>
- <em><b>అలోవెరా జెల్:</b></em> స్కేలింగ్ మరియు ఎరుపును తగ్గిస్తుంది.<br>
- <em><b>డెడ్ సీ సాల్ట్ బాత్‌లు:</b></em> చికాకు మరియు స్కేలింగ్‌ను తగ్గిస్తుంది.<br>
- <em><b>పసుపు:</b></em> శోథ నిరోధక లక్షణాలను కలిగి ఉంది.<br>"

gastritis,hi," गैस्ट्राइटिस पेट की परत की सूजन को संदर्भित करता है, जो असुविधा, मतली और पाचन संबंधी समस्याओं का कारण बन सकता है। यह कारण और अवधि के आधार पर तीव्र या जीर्ण हो सकता है।<br><br>

<strong>कारण</strong><br><br>

- <em><b>एच. पाइलोरी संक्रमण:</b></em> पेट में सूजन पैदा करने वाला एक आम जीवाणु संक्रमण।<br>

- <em><b>अत्यधिक शराब:</b></em> पेट की परत को परेशान और नष्ट कर देता है।<br>

- <em><b>NSAIDs का अधिक उपयोग:</b></em> एस्पिरिन और इबुप्रोफेन जैसी दर्द निवारक दवाओं का लंबे समय तक उपयोग।<br><br>

<strong>सावधानियाँ</strong><br><br>

- <em><b>स्वस्थ आहार:</b></em> मसालेदार, अम्लीय और तले हुए खाद्य पदार्थों से बचें खाद्य पदार्थ।<br>
- <em><b>शराब सीमित करें:</b></em> अत्यधिक सेवन से बचें।<br>
- <em><b>तनाव कम करें:</b></em> योग या ध्यान जैसी विश्राम तकनीकों का अभ्यास करें।<br><br>

<strong>घरेलू उपचार</strong><br><br>
- <em><b>अदरक की चाय:</b></em> सूजन को कम करती है और पेट को आराम पहुँचाती है।<br>
- <em><b>प्रोबायोटिक्स:</b></em> आंत के स्वास्थ्य और पाचन में सुधार करती है।<br>
- <em><b>कैमोमाइल चाय:</b></em> सूजन को कम करने और विश्राम को बढ़ावा देने में मदद करती है।<br>"

dengue,hi," डेंगू बुखार मच्छर जनित वायरल संक्रमण है जो डेंगू वायरस के कारण होता है। इससे तेज़ बुखार, गंभीर सिरदर्द, जोड़ों में दर्द और एक विशिष्ट दाने हो सकते हैं। गंभीर डेंगू जानलेवा जटिलताओं का कारण बन सकता है।<br><br>

<strong>कारण</strong><br><br>
- <em><b>मच्छर का काटना:</b></em> एडीज एजिप्टी और एडीज एल्बोपिक्टस मच्छरों द्वारा फैलता है।<br>
- <em><b>संक्रमित व्यक्ति:</b></em> संक्रमित व्यक्ति को काटने के बाद मच्छर वायरस फैलाते हैं।<br><br>

<strong>सावधानियाँ</strong><br><br>
- <em><b>मच्छरदानी का उपयोग करें:</b></em> सोते समय काटने से बचें।<br>
- <em><b>प्रजनन स्थलों को खत्म करें:</b></em> घरों में और उसके आस-पास जमा पानी को खाली करें।<br><br>

<strong>घर उपाय</strong><br><br>
- <em><b>हाइड्रेटेड रहें:</b></em> निर्जलीकरण को रोकने के लिए पानी, ओआरएस और जूस पिएं।<br>
- <em><b>पपीते के पत्ते का अर्क:</b></em> प्लेटलेट काउंट बढ़ाने के लिए माना जाता है।<br>
- <em><b>नारियल का पानी:</b></em> इलेक्ट्रोलाइट्स को पुनर्स्थापित करता है और निर्जलीकरण को रोकता है।<br>"

malaria,hi," मलेरिया प्लास्मोडियम परजीवी के कारण होने वाली जानलेवा बीमारी है, जो संक्रमित एनोफिलीज मच्छरों के काटने से फैलती है।<br><br>

<strong>कारण</strong><br><br>
- <em><b>मच्छर का काटना:</b></em> संक्रमित एनोफिलीज मच्छरों के माध्यम से फैलता है।<br>
- <em><b>प्लास्मोडियम परजीवी:</b></em> मुख्य रूप से प्लास्मोडियम फाल्सीपेरम और पी. विवैक्स के कारण होता है।<br><br>

<strong>सावधानियाँ</strong><br><br>
- <em><b>मच्छरदानी का उपयोग करें:</b></em> सोते समय काटने से बचें।<br>
- <em><b>स्थिर पानी को रोकें:</b></em> मच्छरों के प्रजनन स्थलों को हटाएँ।<br><br>

<strong>घरेलू उपचार</strong><br><br>
- <em><b>अदरक की चाय:</b></em> बुखार और मतली जैसे लक्षणों से निपटने में मदद करती है।<br>
- <em><b>दालचीनी:</b></em> अपने रोगाणुरोधी गुणों के लिए जानी जाती है।<br>
- <em><b>नींबू और नींबू:</b></em> सूजन को कम करने में मदद कर सकते हैं बुखार।<br>"

chickenpox,hi," चिकनपॉक्स एक अत्यधिक संक्रामक वायरल संक्रमण है जो वैरिसेला-ज़ोस्टर वायरस के कारण होता है। इसकी विशेषता पूरे शरीर में खुजली वाले, तरल पदार्थ से भरे छाले हैं।<br><br>

<strong>कारण</strong><br><br>
- <em><b>वैरिसेला-ज़ोस्टर वायरस:</b></em> सीधे संपर्क, बूंदों या हवा के माध्यम से फैलता है।<br><br>

<strong>सावधानियाँ</strong><br><br>
- <em><b>टीकाकरण:</b></em> चिकनपॉक्स का टीका प्रभावी सुरक्षा प्रदान करता है।<br>
- <em><b>संपर्क से बचें:</b></em> संक्रमित व्यक्तियों से दूर रहें।<br><br>

<strong>घरेलू उपचार</strong><br><br>
- <em><b>दलिया स्नान:</b></em> खुजली से राहत देता है और त्वचा को आराम देता है।<br>
- <em><b>कैलामाइन लोशन:</b></em> खुजली और जलन को कम करता है।<br>
- <em><b>एलोवेरा:</b></em> त्वचा को आराम देता है और उपचार को बढ़ावा देता है।<br>"

psoriasis,hi,"सोरायसिस एक पुरानी ऑटोइम्यून स्थिति है जो त्वचा कोशिकाओं को तेजी से बढ़ने का कारण बनती है, जिससे स्केलिंग, लालिमा और सूजन होती है। यह अक्सर खोपड़ी, कोहनी, घुटनों और पीठ के निचले हिस्से को प्रभावित करता है।<br><br>

<strong>कारण</strong><br><br>
- <em><b>स्वप्रतिरक्षी प्रतिक्रिया:</b></em> प्रतिरक्षा प्रणाली गलती से स्वस्थ त्वचा कोशिकाओं पर हमला करती है।<br>
- <em><b>ट्रिगर:</b></em> तनाव, संक्रमण, ठंडा मौसम और कुछ दवाएँ।<br><br>

<strong>सावधानियाँ</strong><br><br>
- <em><b>नियमित रूप से मॉइस्चराइज़ करें:</b></em> सूखापन और स्केलिंग को रोकता है।<br>
- <em><b>ट्रिगर से बचें:</b></em> तनाव को प्रबंधित करें और ज्ञात परेशानियों से बचें।<br><br>

<strong>घरेलू उपचार</strong><br><br>
- <em><b>एलोवेरा जेल:</b></em> स्केलिंग और लालिमा को कम करता है।<br>
- <em><b>डेड सी साल्ट बाथ:</b></em> जलन और स्केलिंग को कम करता है।<br>
- <em><b>हल्दी:</b></em> में सूजन-रोधी गुण होते हैं।<br>"
bipolar disorder,en," Bipolar disorder is a mental health condition characterized by extreme mood swings, including emotional highs (mania or hypomania) and lows (depression).<br><br>

<strong>Causes</strong><br><br>
- <em><b>Genetic Factors:</b></em> Family history can increase the risk of developing bipolar disorder.<br>
- <em><b>Chemical Imbalance:</b></em> Imbalance in neurotransmitters in the brain.<br><br>

<strong>Precautions</strong><br><br>
- <em><b>Regular Therapy:</b></em> Psychotherapy and counseling can help manage symptoms.<br>
- <em><b>Medication Adherence:</b></em> Antidepressants and mood stabilizers help in controlling mood swings.<br><br>

<strong>Home Remedies</strong><br><br>
- <em><b>Regular Exercise:</b></em> Helps reduce stress and improve mood.<br>
- <em><b>Mindfulness Meditation:</b></em> Reduces stress and enhances emotional balance.<br>
- <em><b>Balanced Diet:</b></em> Supports mental health and overall well-being.<br>"

anemia,en,"Anemia is a condition where there are insufficient healthy red blood cells to carry adequate oxygen to the body's tissues. It results in fatigue, weakness, and pale skin.<br><br>

<strong>Causes</strong><br><br>
- <em><b>Iron Deficiency:</b></em> The most common cause of anemia.<br>
- <em><b>Vitamin Deficiencies:</b></em> Lack of folate or vitamin B12.<br>
- <em><b>Chronic Diseases:</b></em> Such as kidney disease or cancer.<br><br>

<strong>Precautions</strong><br><br>
- <em><b>Iron-Rich Diet:</b></em> Include iron-rich foods like spinach, legumes, and red meat.<br>
- <em><b>Supplements:</b></em> Iron, vitamin B12, or folate supplements if recommended by a doctor.<br><br>

<strong>Home Remedies</strong><br><br>
- <em><b>Iron-Rich Foods:</b></em> Red meat, dark leafy greens, and fortified cereals.<br>
- <em><b>Vitamin C:</b></em> Enhances iron absorption.<br>
- <em><b>Molasses:</b></em> Rich in iron and helps boost iron levels.<br>"

tuberculosis,en,"Tuberculosis (TB) is a serious infectious disease that mainly affects the lungs but can also affect other parts of the body. It spreads through the air when an infected person coughs or sneezes.<br><br>

<strong>Causes</strong><br><br>
- <em><b>Mycobacterium Tuberculosis:</b></em> The bacterium responsible for TB.<br>
- <em><b>Close Contact:</b></em> Spread through prolonged close contact with an infected person.<br><br>

<strong>Precautions</strong><br><br>
- <em><b>Early Detection:</b></em> Get tested if symptoms appear.<br>
- <em><b>Avoid Close Contact:</b></em> Stay away from infected individuals until they are no longer contagious.<br><br>

<strong>Home Remedies</strong><br><br>
- <em><b>Garlic:</b></em> Antibacterial properties that may help in fighting infection.<br>
- <em><b>Turmeric:</b></em> Known for its anti-inflammatory and antimicrobial properties.<br>
- <em><b>Ginger Tea:</b></em> Helps boost immunity.<br>"

celiac disease,en," Celiac disease is an autoimmune disorder where the ingestion of gluten damages the small intestine lining, leading to malabsorption of nutrients.<br><br>

<strong>Causes</strong><br><br>
- <em><b>Genetic Factors:</b></em> Inherited from family members.<br>
- <em><b>Gluten Intake:</b></em> Triggered by consuming foods containing gluten.<br><br>

<strong>Precautions</strong><br><br>
- <em><b>Gluten-Free Diet:</b></em> Complete avoidance of gluten-containing foods.<br>
- <em><b>Regular Monitoring:</b></em> Periodic testing and check-ups to monitor gut health.<br><br>

<strong>Home Remedies</strong><br><br>
- <em><b>Probiotics:</b></em> Supports gut health and digestion.<br>
- <em><b>Bone Broth:</b></em> Promotes healing of the gut lining.<br>
- <em><b>Ginger Tea:</b></em> Helps with digestive issues.<br>"
bipolar disorder,hi,"<strong>द्विध्रुवी विकार:</strong>द्विध्रुवी विकार एक मानसिक स्वास्थ्य स्थिति है, जिसमें भावनात्मक उतार-चढ़ाव (उन्माद या हाइपोमेनिया) और निम्न (अवसाद) सहित अत्यधिक मनोदशा में उतार-चढ़ाव होता है।<br><br>

<strong>कारण</strong><br><br>

- <em><b>आनुवांशिक कारक:</b></em> पारिवारिक इतिहास द्विध्रुवी विकार के विकास के जोखिम को बढ़ा सकता है।<br>

- <em><b>रासायनिक असंतुलन:</b></em> मस्तिष्क में न्यूरोट्रांसमीटर में असंतुलन।<br><br>

<strong>सावधानियाँ</strong><br><br>

- <em><b>नियमित चिकित्सा:</b></em> मनोचिकित्सा और परामर्श लक्षणों को प्रबंधित करने में मदद कर सकते हैं।<br>

- <em><b>दवा पालन:</b></em> अवसादरोधी और मनोदशा स्टेबलाइजर मूड स्विंग को नियंत्रित करने में मदद करते हैं।<br><br>

<strong>घरेलू उपचार</strong><br><br>
- <em><b>नियमित व्यायाम:</b></em> तनाव को कम करने और मूड को बेहतर बनाने में मदद करता है।<br>
- <em><b>माइंडफुलनेस मेडिटेशन:</b></em> तनाव को कम करता है और भावनात्मक संतुलन को बढ़ाता है।<br>
- <em><b>संतुलित आहार:</b></em> मानसिक स्वास्थ्य और समग्र कल्याण का समर्थन करता है।<br>"

Anemia,hi,"<strong>एनीमिया:</strong> एनीमिया एक ऐसी स्थिति है जिसमें शरीर के ऊतकों तक पर्याप्त ऑक्सीजन ले जाने के लिए अपर्याप्त स्वस्थ लाल रक्त कोशिकाएँ होती हैं। इसके परिणामस्वरूप थकान, कमज़ोरी और त्वचा का पीलापन होता है।<br><br>

<strong>कारण</strong><br><br>
- <em><b>आयरन की कमी:</b></em> एनीमिया का सबसे आम कारण।<br>
- <em><b>विटामिन की कमी:</b></em> फोलेट या विटामिन बी12 की कमी।<br>
- <em><b>जीर्ण रोग:</b></em> जैसे कि किडनी की बीमारी या कैंसर।<br><br>

<strong>सावधानियाँ</strong><br><br>
- <em><b>आयरन युक्त आहार:</b></em> पालक, फलियाँ और लाल मांस जैसे आयरन युक्त खाद्य पदार्थ शामिल करें।<br>
- <em><b>पूरक:</b></em> यदि डॉक्टर द्वारा सुझाया गया हो तो आयरन, विटामिन बी12 या फोलेट की खुराक लें डॉक्टर.<br><br>

<strong>घरेलू उपचार</strong><br><br>
- <em><b>आयरन युक्त खाद्य पदार्थ:</b></em> लाल मांस, गहरे रंग की पत्तेदार सब्जियाँ और फोर्टिफाइड अनाज.<br>
- <em><b>विटामिन सी:</b></em> आयरन के अवशोषण को बढ़ाता है.<br>
- <em><b>गुड़:</b></em> आयरन से भरपूर और आयरन के स्तर को बढ़ाने में मदद करता है.<br>"

tuberculosis,hi,"<strong>tuberculosis:</strong> tuberculosis (TB) एक गंभीर संक्रामक रोग है जो मुख्य रूप से फेफड़ों को प्रभावित करता है लेकिन शरीर के अन्य भागों को भी प्रभावित कर सकता है. यह संक्रमित व्यक्ति के खांसने या छींकने से हवा के ज़रिए फैलता है।<br><br>

<strong>कारण</strong><br><br>
- <em><b>माइकोबैक्टीरियम ट्यूबरकुलोसिस:</b></em> टीबी के लिए ज़िम्मेदार जीवाणु।<br>
- <em><b>निकट संपर्क:</b></em> संक्रमित व्यक्ति के साथ लंबे समय तक निकट संपर्क से फैलता है।<br><br>

<strong>सावधानियाँ</strong><br><br>
- <em><b>जल्दी पता लगाना:</b></em> लक्षण दिखने पर जाँच करवाएँ।<br>
- <em><b>निकट संपर्क से बचें:</b></em> संक्रमित व्यक्ति से तब तक दूर रहें जब तक कि वे संक्रामक न हो जाएँ।<br><br>

<strong>घरेलू उपचार</strong><br><br>
- <em><b>लहसुन:</b></em> जीवाणुरोधी गुण जो संक्रमण से लड़ने में मदद कर सकते हैं।<br>
- <em><b>हल्दी:</b></em> अपने सूजनरोधी और रोगाणुरोधी गुणों के लिए जानी जाती है।<br>
- <em><b>अदरक की चाय:</b></em> रोग प्रतिरोधक क्षमता को बढ़ाने में मदद करती है।<br>"

celiac disease,hi,"<strong>सीलिएक रोग:</strong> सीलिएक रोग एक स्वप्रतिरक्षी विकार है जिसमें ग्लूटेन के सेवन से छोटी आंत की परत को नुकसान पहुंचता है, जिससे पोषक तत्वों का अवशोषण ठीक से नहीं हो पाता है।<br><br>

<strong>कारण</strong><br><br>
- <em><b>आनुवांशिक कारक:</b></em> परिवार के सदस्यों से विरासत में मिला।<br>
- <em><b>ग्लूटेन का सेवन:</b></em> खाद्य पदार्थों के सेवन से ट्रिगर होता है ग्लूटेन युक्त।<br><br>

<strong>सावधानियाँ</strong><br><br>
- <em><b>ग्लूटेन-मुक्त आहार:</b></em> ग्लूटेन युक्त खाद्य पदार्थों से पूरी तरह परहेज़ करें।<br>
- <em><b>नियमित निगरानी:</b></em> आंत के स्वास्थ्य की निगरानी के लिए समय-समय पर जाँच और जाँच करवाएँ।<br><br>

<strong>घरेलू उपचार</strong><br><br>
- <em><b>प्रोबायोटिक्स:</b></em> आंत के स्वास्थ्य और पाचन का समर्थन करता है।<br>
- <em><b>बोन ब्रॉथ:</b></em> आंत की परत के उपचार को बढ़ावा देता है।<br>
- <em><b>अदरक की चाय:</b></em> पाचन संबंधी समस्याओं में मदद करती है।<br>"
bipolar disorder,te,"<strong>బైపోలార్ డిజార్డర్:</strong> బైపోలార్ డిజార్డర్ అనేది ఒక మానసిక ఆరోగ్య పరిస్థితి, ఇందులో ఎమోషనల్ హైస్ (ఉన్మాదం లేదా హైపోమానియా) మరియు అల్పాలు (డిప్రెషన్) ఉన్నాయి.<br><br>

<strong>కారణాలు</strong><br><br>
- <em><b>జన్యు కారకాలు:</b></em> కుటుంబ చరిత్ర బైపోలార్ డిజార్డర్‌ని అభివృద్ధి చేసే ప్రమాదాన్ని పెంచుతుంది.<br>
- <em><b>రసాయన అసమతుల్యత:</b></em> మెదడులోని న్యూరోట్రాన్స్మిటర్లలో అసమతుల్యత.<br><br>

<strong>జాగ్రత్తలు</strong><br><br>
- <em><b>రెగ్యులర్ థెరపీ:</b></em> సైకోథెరపీ మరియు కౌన్సెలింగ్ లక్షణాలను నిర్వహించడంలో సహాయపడతాయి.<br>
- <em><b>ఔషధ కట్టుబడి:</b></em> యాంటిడిప్రెసెంట్స్ మరియు మూడ్ స్టెబిలైజర్లు మూడ్ స్వింగ్‌లను నియంత్రించడంలో సహాయపడతాయి.<br><br>

<strong>ఇంటి నివారణలు</strong><br><br>
- <em><b>క్రమబద్ధమైన వ్యాయామం:</b></em> ఒత్తిడిని తగ్గించడంలో మరియు మానసిక స్థితిని మెరుగుపరచడంలో సహాయపడుతుంది.<br>
- <em><b>మైండ్‌ఫుల్‌నెస్ మెడిటేషన్:</b></em> ఒత్తిడిని తగ్గిస్తుంది మరియు భావోద్వేగ సమతుల్యతను పెంచుతుంది.<br>
- <em><b>సమతుల్య ఆహారం:</b></em> మానసిక ఆరోగ్యం మరియు మొత్తం శ్రేయస్సుకు మద్దతు ఇస్తుంది.<br>"

Anemia,te,"<strong>రక్తహీనత:</strong> రక్తహీనత అనేది శరీర కణజాలాలకు తగినంత ఆక్సిజన్‌ను తీసుకువెళ్లడానికి తగినంత ఆరోగ్యకరమైన ఎర్ర రక్త కణాలు లేని పరిస్థితి. ఇది అలసట, బలహీనత మరియు చర్మం పాలిపోవడానికి దారితీస్తుంది.<br>< br>

<strong>కారణాలు</strong><br><br>
- <em><b>ఇనుము లోపం:</b></em> రక్తహీనతకు అత్యంత సాధారణ కారణం.<br>
- <em><b>విటమిన్ లోపాలు:</b></em> ఫోలేట్ లేదా విటమిన్ B12 లేకపోవడం.<br>
- <em><b>దీర్ఘకాలిక వ్యాధులు:</b></em> మూత్రపిండాల వ్యాధి లేదా క్యాన్సర్ వంటివి.<br><br>

<strong>జాగ్రత్తలు</strong><br><br>
- <em><b>ఐరన్-రిచ్ డైట్:</b></em> బచ్చలికూర, చిక్కుళ్ళు మరియు ఎర్ర మాంసం వంటి ఐరన్ అధికంగా ఉండే ఆహారాలను చేర్చండి.<br>
- <em><b>సప్లిమెంట్స్:</b></em> డాక్టర్ సిఫార్సు చేసినట్లయితే ఐరన్, విటమిన్ B12 లేదా ఫోలేట్ సప్లిమెంట్స్.<br><br>

<strong>ఇంటి నివారణలు</strong><br><br>
- <em><b>ఐరన్-రిచ్ ఫుడ్స్:</b></em> ఎర్ర మాంసం, ముదురు ఆకుకూరలు మరియు బలవర్థకమైన తృణధాన్యాలు.<br>
- <em><b>విటమిన్ సి:</b></em> ఇనుము శోషణను మెరుగుపరుస్తుంది.<br>
- <em><b>మొలాసిస్:</b></em> ఇనుము సమృద్ధిగా ఉంటుంది మరియు ఇనుము స్థాయిలను పెంచడంలో సహాయపడుతుంది.<br>"

tuberculosis,te,"<strong>Tuberculosis:</strong> క్షయవ్యాధి (TB) అనేది ఒక తీవ్రమైన అంటు వ్యాధి, ఇది ప్రధానంగా ఊపిరితిత్తులను ప్రభావితం చేస్తుంది కానీ శరీరంలోని ఇతర భాగాలను కూడా ప్రభావితం చేస్తుంది. ఇది సోకిన వ్యక్తి దగ్గినప్పుడు లేదా తుమ్మినప్పుడు గాలి ద్వారా వ్యాపిస్తుంది. .<br><br>

<strong>కారణాలు</strong><br><br>
- <em><b>మైకోబాక్టీరియం ట్యూబర్‌క్యులోసిస్:</b></em> TBకి కారణమైన బాక్టీరియం.<br>
- <em><b>పరిచయాన్ని మూసివేయండి:</b></em> సోకిన వ్యక్తితో సుదీర్ఘ సన్నిహిత పరిచయం ద్వారా వ్యాప్తి చెందుతుంది.<br><br>

<strong>జాగ్రత్తలు</strong><br><br>
- <em><b>ముందుగానే గుర్తించడం:</b></em> లక్షణాలు కనిపిస్తే పరీక్షించుకోండి.<br>
- <em><b>దగ్గరి సంబంధాన్ని నివారించండి:</b></em> సోకిన వ్యక్తులు ఇకపై అంటువ్యాధి కాకుండా ఉండే వరకు వారికి దూరంగా ఉండండి.<br><br>

<strong>ఇంటి నివారణలు</strong><br><br>
- <em><b>వెల్లుల్లి:</b></em> ఇన్ఫెక్షన్‌తో పోరాడడంలో సహాయపడే యాంటీ బాక్టీరియల్ లక్షణాలు.<br>
- <em><b>పసుపు:</b></em> శోథ నిరోధక మరియు యాంటీమైక్రోబయల్ లక్షణాలకు ప్రసిద్ధి.<br>
- <em><b>అల్లం టీ:</b></em> రోగనిరోధక శక్తిని పెంచడంలో సహాయపడుతుంది.<br>"

celiac disease,te,"<strong>సెలియక్ డిసీజ్:</strong> ఉదరకుహర వ్యాధి అనేది స్వయం ప్రతిరక్షక రుగ్మత, ఇక్కడ గ్లూటెన్ తీసుకోవడం వల్ల చిన్న ప్రేగు లైనింగ్ దెబ్బతింటుంది, ఇది పోషకాల మాలాబ్జర్ప్షన్‌కు దారితీస్తుంది.<br><br>

<strong>కారణాలు</strong><br><br>
- <em><b>జన్యు కారకాలు:</b></em> కుటుంబ సభ్యుల నుండి సంక్రమించినవి.<br>
- <em><b>గ్లూటెన్ తీసుకోవడం:</b></em> గ్లూటెన్ ఉన్న ఆహారాన్ని తీసుకోవడం ద్వారా ప్రేరేపించబడింది.<br><br>

<strong>జాగ్రత్తలు</strong><br><br>
- <em><b>గ్లూటెన్-ఫ్రీ డైట్:</b></em> గ్లూటెన్-కలిగిన ఆహారాలకు పూర్తిగా దూరంగా ఉండటం.<br>
- <em><b>రెగ్యులర్ మానిటరింగ్:</b></em> పేగు ఆరోగ్యాన్ని పర్యవేక్షించడానికి కాలానుగుణ పరీక్షలు మరియు తనిఖీలు.<br><br>

<strong>ఇంటి నివారణలు</strong><br><br>
- <em><b>ప్రోబయోటిక్స్:</b></em> పేగు ఆరోగ్యం మరియు జీర్ణక్రియకు మద్దతు ఇస్తుంది.<br>
- <em><b>ఎముక పులుసు:</b></em> గట్ లైనింగ్ యొక్క స్వస్థతను ప్రోత్సహిస్తుంది.<br>
- <em><b>అల్లం టీ:</b></em> జీర్ణ సమస్యలతో సహాయపడుతుంది.<br>"

bipolar disorder,ta,"<strong>Bipolar Disorder:</strong> இருமுனைக் கோளாறு என்பது ஒரு மனநலக் கோளாறு ஆகும், இதில் உணர்ச்சிகரமான உயர்நிலைகள் (பித்து அல்லது ஹைபோமேனியா) மற்றும் தாழ்வுகள் (மனச்சோர்வு) ஆகியவை அடங்கும்.<br><br>

<strong>காரணங்கள்</strong><br><br>
- <em><b>மரபியல் காரணிகள்:</b></em> குடும்ப வரலாறு இருமுனைக் கோளாறு உருவாகும் அபாயத்தை அதிகரிக்கலாம்.<br>
- <em><b>வேதியியல் ஏற்றத்தாழ்வு:</b></em> மூளையில் உள்ள நரம்பியக்கடத்திகளில் ஏற்றத்தாழ்வு.<br><br>

<strong>முன்னெச்சரிக்கைகள்</strong><br><br>
- <em><b>வழக்கமான சிகிச்சை:</b></em> உளவியல் சிகிச்சை மற்றும் ஆலோசனைகள் அறிகுறிகளை நிர்வகிக்க உதவும்.<br>
- <em><b>மருந்து பின்பற்றுதல்:</b></em> மன அழுத்த எதிர்ப்பு மருந்துகள் மற்றும் மனநிலை நிலைப்படுத்திகள் மனநிலை மாற்றங்களைக் கட்டுப்படுத்த உதவுகின்றன.<br><br>

<strong>வீட்டு வைத்தியம்</strong><br><br>
- <em><b>வழக்கமான உடற்பயிற்சி:</b></em> மன அழுத்தத்தைக் குறைக்கவும் மனநிலையை மேம்படுத்தவும் உதவுகிறது.<br>
- <em><b>மைண்ட்ஃபுல்னஸ் தியானம்:</b></em> மன அழுத்தத்தைக் குறைக்கிறது மற்றும் உணர்ச்சி சமநிலையை அதிகரிக்கிறது.<br>
- <em><b>சமச்சீர் உணவு:</b></em> மன ஆரோக்கியம் மற்றும் ஒட்டுமொத்த நல்வாழ்வை ஆதரிக்கிறது.<br>"

